,start_lng,start_lat,end_lng,end_lat
0,-73.995689,40.725143,-73.956589,40.786934
1,-73.9599,40.779263,-73.956856,40.785793
2,-73.995415,40.724941,-73.999802,40.728252
3,-73.982391,40.755119,-73.999794,40.727192
4,-73.99614,40.725105,-73.981056,40.756641
